material_id,formula_pretty,source_collection,material_status,bucket,channel_quality,cif_path
2dm-1003,BiI3,Vertical_NM_Sample_50_v3,caution-only,moderate-quality,electron_x=caution;hole_x=caution;electron_y=caution;hole_y=weak,材料/moderate-quality/2dm-1003__BiI3.cif
2dm-1004,BN,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=caution,材料/high-quality/2dm-1004__BN.cif
2dm-1008,GeP2,Vertical_NM_Sample_200_v2,caution-only,moderate-quality,electron_x=caution;hole_x=weak;electron_y=weak;hole_y=caution,材料/moderate-quality/2dm-1008__GeP2.cif
2dm-1013,GaBr,Vertical_NM_Sample_100,>=1 filtered channel,high-quality,electron_x=caution;hole_x=filtered;electron_y=weak;hole_y=caution,材料/high-quality/2dm-1013__GaBr.cif
2dm-1029,AlN,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=weak;hole_x=filtered;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-1029__AlN.cif
2dm-1033,GaI,Vertical_NM_Sample_100_v1,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1033__GaI.cif
2dm-104,AlCl,Vertical_NM_Sample_100,caution-only,moderate-quality,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=caution,材料/moderate-quality/2dm-104__AlCl.cif
2dm-1044,InI3,Vertical_NM_Sample_50_v3,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1044__InI3.cif
2dm-1079,GaI3,Vertical_NM_Sample_50_v3,caution-only,moderate-quality,electron_x=weak;hole_x=caution;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-1079__GaI3.cif
2dm-1082,BBr,Vertical_NM_Sample_100_v1,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1082__BBr.cif
2dm-1094,AsI3,Vertical_NM_Sample_100_v1,caution-only,moderate-quality,electron_x=weak;hole_x=caution;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-1094__AsI3.cif
2dm-1099,AlCl,Vertical_NM_Sample_200_v2,caution-only,moderate-quality,electron_x=caution;hole_x=weak;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-1099__AlCl.cif
2dm-11,SrO2,Vertical_NM_Sample_100,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-11__SrO2.cif
2dm-1106,Ta2O5,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=caution,材料/high-quality/2dm-1106__Ta2O5.cif
2dm-1119,PI3,Vertical_NM_Sample_100_v1,caution-only,moderate-quality,electron_x=weak;hole_x=caution;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-1119__PI3.cif
2dm-1120,CO,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=failed;hole_y=failed,材料/high-quality/2dm-1120__CO.cif
2dm-1124,CdF2,Vertical_NM_Sample_50_v4,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1124__CdF2.cif
2dm-1127,BiCl3,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-1127__BiCl3.cif
2dm-1135,BiBr3,Vertical_NM_Sample_50_v4,>=1 filtered channel,high-quality,electron_x=weak;hole_x=weak;electron_y=filtered;hole_y=caution,材料/high-quality/2dm-1135__BiBr3.cif
2dm-1141,GaN,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=failed;hole_x=failed;electron_y=failed;hole_y=failed,材料/not retained/2dm-1141__GaN.cif
2dm-1157,InBr3,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-1157__InBr3.cif
2dm-116,InI,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-116__InI.cif
2dm-117,SiSe,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=filtered,材料/high-quality/2dm-117__SiSe.cif
2dm-1183,GaI,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1183__GaI.cif
2dm-1184,AsBr3,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=weak;hole_x=filtered;electron_y=weak;hole_y=caution,材料/high-quality/2dm-1184__AsBr3.cif
2dm-1186,InI,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=failed;hole_x=failed;electron_y=failed;hole_y=failed,材料/not retained/2dm-1186__InI.cif
2dm-1189,ScCl3,Vertical_NM_Sample_50_v4,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=caution;hole_y=weak,材料/high-quality/2dm-1189__ScCl3.cif
2dm-1195,BCl,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=filtered,材料/high-quality/2dm-1195__BCl.cif
2dm-1207,CS,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=caution;hole_x=caution;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-1207__CS.cif
2dm-1226,InI,Vertical_NM_Sample_50_v3,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1226__InI.cif
2dm-1234,AlI3,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1234__AlI3.cif
2dm-125,TbBr3,Vertical_NM_Sample_50_v3,>=1 filtered channel,high-quality,electron_x=caution;hole_x=weak;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-125__TbBr3.cif
2dm-1258,BI3,Vertical_NM_Sample_100_v1,caution-only,moderate-quality,electron_x=weak;hole_x=caution;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-1258__BI3.cif
2dm-13,SnCl4,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=weak;hole_x=filtered;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-13__SnCl4.cif
2dm-136,GeO,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=failed;hole_x=failed;electron_y=failed;hole_y=failed,材料/not retained/2dm-136__GeO.cif
2dm-138,CdF2,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-138__CdF2.cif
2dm-1416,TlCl,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=failed;hole_x=failed;electron_y=failed;hole_y=failed,材料/not retained/2dm-1416__TlCl.cif
2dm-1425,HgBr2,Vertical_NM_Sample_50_v4,>=1 filtered channel,high-quality,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-1425__HgBr2.cif
2dm-1453,SrCl2,Vertical_NM_Sample_50_v4,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1453__SrCl2.cif
2dm-1468,TlCl,Vertical_NM_Sample_100,>=1 filtered channel,high-quality,electron_x=weak;hole_x=filtered;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-1468__TlCl.cif
2dm-1469,SbCl3,Vertical_NM_Sample_200_v2,caution-only,moderate-quality,electron_x=weak;hole_x=caution;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-1469__SbCl3.cif
2dm-1475,TlCl3,Vertical_NM_Sample_100_v1,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1475__TlCl3.cif
2dm-150,PbSe,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=weak;hole_x=caution;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-150__PbSe.cif
2dm-1506,TlAs5,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=weak;hole_y=caution,材料/high-quality/2dm-1506__TlAs5.cif
2dm-1539,BiF3,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=filtered,材料/high-quality/2dm-1539__BiF3.cif
2dm-1540,AlF3,Vertical_NM_Sample_100,>=1 filtered channel,high-quality,electron_x=caution;hole_x=caution;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-1540__AlF3.cif
2dm-1541,BF,Vertical_NM_Sample_100_v1,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1541__BF.cif
2dm-1546,InF,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-1546__InF.cif
2dm-1551,CdI2,Vertical_NM_Sample_100_v1,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1551__CdI2.cif
2dm-1558,GaF,Vertical_NM_Sample_other_v5,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=filtered,材料/high-quality/2dm-1558__GaF.cif
2dm-1572,HgCl2,Vertical_NM_Sample_50_v3,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1572__HgCl2.cif
2dm-1587,MgI2,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1587__MgI2.cif
2dm-1588,HgCl2,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1588__HgCl2.cif
2dm-1589,TlBr,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=filtered,材料/high-quality/2dm-1589__TlBr.cif
2dm-1595,Ga4Se3,Vertical_NM_Sample_200_v2,caution-only,moderate-quality,electron_x=caution;hole_x=weak;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-1595__Ga4Se3.cif
2dm-1598,TlBr,Vertical_NM_Sample_100_v1,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-1598__TlBr.cif
